CÓDIGO;Semana;Acumulado;PERIODO
CDFO;202326;1;202390
CDFO;202327;1;202390
CDFO;202328;1;202390
CDFO;202329;1;202390
CDFO;202330;1;202390
CDFO;202331;1;202390
CDFO;202332;1;202390
CDFO;202333;1;202390
CDFO;202334;1;202390
CDFO;202335;1;202390
CDFO;202336;1;202390
CMTE;202336;1;202390
DCOL;202320;1;202390
DCOL;202321;2;202390
DCOL;202322;2;202390
DCOL;202323;4;202390
DCOL;202324;5;202390
DCOL;202325;6;202390
DCOL;202326;10;202390
DCOL;202327;16;202390
DCOL;202328;19;202390
DCOL;202329;23;202390
DCOL;202330;23;202390
DCOL;202331;23;202390
DCOL;202332;23;202390
DCOL;202333;32;202390
DCOL;202334;32;202390
DCOL;202335;38;202390
DCOL;202336;38;202390
DISM;202321;3;202390
DISM;202322;3;202390
DISM;202323;5;202390
DISM;202324;6;202390
DISM;202325;10;202390
DISM;202326;14;202390
DISM;202327;17;202390
DISM;202328;17;202390
DISM;202329;21;202390
DISM;202330;21;202390
DISM;202331;21;202390
DISM;202332;21;202390
DISM;202333;26;202390
DISM;202334;28;202390
DISM;202335;30;202390
DISM;202336;30;202390
DNEE;202321;4;202390
DNEE;202322;11;202390
DNEE;202323;13;202390
DNEE;202324;15;202390
DNEE;202325;16;202390
DNEE;202326;17;202390
DNEE;202327;24;202390
DNEE;202328;31;202390
DNEE;202329;38;202390
DNEE;202330;38;202390
DNEE;202331;38;202390
DNEE;202332;38;202390
DNEE;202333;52;202390
DNEE;202334;54;202390
DNEE;202335;66;202390
DNEE;202336;72;202390
PMEM;202325;2;202390
PMEM;202326;3;202390
PMEM;202327;4;202390
PMEM;202328;4;202390
PMEM;202329;5;202390
PMEM;202330;9;202390
PMEM;202331;9;202390
PMEM;202332;9;202390
PMEM;202333;10;202390
PMEM;202334;12;202390
PMEM;202335;12;202390
PMEM;202336;13;202390
CIAA;202334;1;202390
CIAA;202335;1;202390
CIAA;202336;1;202390
CICS;202322;1;202390
CICS;202323;2;202390
CICS;202324;2;202390
CICS;202325;2;202390
CICS;202326;2;202390
CICS;202327;2;202390
CICS;202328;2;202390
CICS;202329;2;202390
CICS;202330;2;202390
CICS;202331;2;202390
CICS;202332;2;202390
CICS;202333;2;202390
CICS;202334;2;202390
CICS;202335;2;202390
CICS;202336;2;202390
CBAL;202325;26;202390
CBAL;202326;28;202390
CBAL;202327;28;202390
CBAL;202328;29;202390
CBAL;202329;29;202390
CBAL;202330;29;202390
CBAL;202331;29;202390
CBAL;202332;29;202390
CBAL;202333;29;202390
CBAL;202334;29;202390
CBAL;202335;29;202390
CBAL;202336;29;202390
CACL;202324;1;202390
CACL;202325;20;202390
CACL;202326;31;202390
CACL;202327;43;202390
CACL;202328;52;202390
CACL;202329;59;202390
CACL;202330;63;202390
CACL;202331;75;202390
CACL;202332;85;202390
CACL;202333;92;202390
CACL;202334;95;202390
CACL;202335;98;202390
CACL;202336;98;202390
