CÓDIGO;Acumulado;Semana;PERIODO
MDDE;2;10;202290
MDGE;2;10;202290
MDPE;1;10;202290
MDRC;4;10;202290
MDTR;4;10;202290
MEDU;1;10;202290
MEMG;5;10;202290
MHGP;1;10;202290
MNPP;2;10;202290
MPSP;1;10;202290
MPSP;3;10;202290
MTEM;1;10;202290
MTEM;5;10;202290
PEOG;5;10;202290
PEOG;1;10;202290
PEPA;1;10;202290
PEPA;2;10;202290
PMEM;3;10;202290
PMEM;1;10;202290
DAAG;4;11;202290
DAAG;4;11;202290
DCAA;1;11;202290
DCAA;1;11;202290
DCPA;30;11;202290
DCPA;1;11;202290
DCPA;4;11;202290
DCPA;1;11;202290
DDCO;3;11;202290
DDEI;1;11;202290
DDEP;1;11;202290
DDIN;1;11;202290
DDLE;1;11;202290
DERA;2;11;202290
DERA;13;11;202290
DERO;13;11;202290
DERO;3;11;202290
DERS;10;11;202290
DERS;2;11;202290
DEST;2;11;202290
DEST;1;11;202290
DESU;1;11;202290
DEVS;1;11;202290
DGCE;2;11;202290
DGGE;1;11;202290
DIND;1;11;202290
DIOD;3;11;202290
DIQP;1;11;202290
DIQP;16;11;202290
DIQP;2;11;202290
DMOR;3;11;202290
DNEO;2;11;202290
DOCM;2;11;202290
DODP;5;11;202290
DOPI;3;11;202290
DOPI;22;11;202290
DORE;2;11;202290
DPAD;4;11;202290
DPEN;1;11;202290
DPEN;11;11;202290
DPPC;2;11;202290
DPSU;2;11;202290
DSCE;1;11;202290
DSCE;1;11;202290
DSMP;1;11;202290
EMCT;1;11;202290
EOCM;4;11;202290
EOEN;1;11;202290
EOEN;10;11;202290
EOIM;1;11;202290
EOIM;4;11;202290
EOIO;1;11;202290
EOIO;9;11;202290
EOOP;8;11;202290
EOOR;6;11;202290
EOPE;8;11;202290
EORO;2;11;202290
EORO;9;11;202290
EORO;1;11;202290
EOTT;2;11;202290
EOTT;3;11;202290
MAGS;1;11;202290
MAGS;2;11;202290
MDAD;1;11;202290
MDAD;1;11;202290
MDAD;4;11;202290
MDDE;1;11;202290
MDDE;2;11;202290
MDGE;2;11;202290
MDPE;1;11;202290
MDRC;6;11;202290
MDTR;5;11;202290
MEDU;2;11;202290
MEMG;5;11;202290
MHGP;2;11;202290
MNPP;2;11;202290
MPSP;1;11;202290
MPSP;3;11;202290
MTEM;1;11;202290
MTEM;6;11;202290
PEOG;6;11;202290
PEOG;1;11;202290
PEPA;1;11;202290
PEPA;1;11;202290
PEPA;2;11;202290
PMEM;5;11;202290
PMEM;1;11;202290
CICS;1;12;202290
DAAG;4;12;202290
DAAG;5;12;202290
DAAM;9;12;202290
DCAA;1;12;202290
DCAA;1;12;202290
DCOL;9;12;202290
DCPA;35;12;202290
DCPA;2;12;202290
DCPA;4;12;202290
DCPA;1;12;202290
DDCO;3;12;202290
DDEC;7;12;202290
DDEI;4;12;202290
DDEI;1;12;202290
DDEP;1;12;202290
DDEP;1;12;202290
DDGE;3;12;202290
DDIN;1;12;202290
DDIP;1;12;202290
DDLE;1;12;202290
DDUD;1;12;202290
DDUD;1;12;202290
DERA;2;12;202290
DERA;13;12;202290
DERO;14;12;202290
DERO;3;12;202290
DERS;11;12;202290
DERS;2;12;202290
DEST;2;12;202290
DEST;1;12;202290
DESU;1;12;202290
DEVS;4;12;202290
DFCL;3;12;202290
DFUT;1;12;202290
DGAS;2;12;202290
DGCE;2;12;202290
DGCS;6;12;202290
DGCS;9;12;202290
DGGE;1;12;202290
DGOS;31;12;202290
DHDS;1;12;202290
DIND;1;12;202290
DIOD;3;12;202290
DIPH;11;12;202290
DIQP;3;12;202290
DIQP;18;12;202290
DIQP;2;12;202290
DKAD;1;12;202290
DMBU;6;12;202290
DMBU;6;12;202290
DMOR;4;12;202290
DMSM;8;12;202290
DMSU;4;12;202290
DMTT;1;12;202290
DNDF;1;12;202290
DNEE;7;12;202290
DNEO;2;12;202290
DNNA;1;12;202290
DOCM;2;12;202290
DODP;6;12;202290
DOIA;1;12;202290
DOPI;3;12;202290
DOPI;25;12;202290
DOPS;8;12;202290
DORE;2;12;202290
DPAD;4;12;202290
DPCI;1;12;202290
DPEN;1;12;202290
DPEN;12;12;202290
DPPC;2;12;202290
DPSU;1;12;202290
DPSU;3;12;202290
DRET;1;12;202290
DSAP;1;12;202290
DSAP;9;12;202290
DSCE;1;12;202290
DSCE;1;12;202290
DSFC;7;12;202290
DSMP;1;12;202290
DTMA;2;12;202290
DVMP;3;12;202290
DVMP;1;12;202290
EMCT;1;12;202290
EOCM;4;12;202290
EOEN;1;12;202290
EOEN;10;12;202290
EOIM;1;12;202290
EOIM;4;12;202290
EOIO;1;12;202290
EOIO;9;12;202290
EOOP;8;12;202290
EOOR;6;12;202290
EOPE;8;12;202290
EORO;2;12;202290
EORO;9;12;202290
EORO;1;12;202290
EOTT;2;12;202290
EOTT;3;12;202290
MAGS;1;12;202290
MAGS;2;12;202290
MDAD;1;12;202290
MDAD;1;12;202290
MDAD;4;12;202290
MDDE;1;12;202290
MDDE;2;12;202290
MDGE;2;12;202290
MDPE;1;12;202290
MDRC;6;12;202290
MDTR;5;12;202290
MEDU;2;12;202290
MEMG;6;12;202290
MHGP;2;12;202290
MNPP;1;12;202290
MNPP;2;12;202290
MPSP;1;12;202290
MPSP;3;12;202290
MTEM;1;12;202290
MTEM;6;12;202290
PEOG;6;12;202290
PEOG;1;12;202290
PEPA;1;12;202290
PEPA;1;12;202290
PEPA;2;12;202290
PMEM;5;12;202290
PMEM;1;12;202290
CICS;1;13;202290
DAAG;4;13;202290
DAAG;5;13;202290
DAAM;9;13;202290
DCAA;1;13;202290
DCAA;1;13;202290
DCKR;1;13;202290
DCOL;9;13;202290
DCPA;37;13;202290
DCPA;2;13;202290
DCPA;4;13;202290
DCPA;1;13;202290
DDCO;3;13;202290
DDEC;7;13;202290
DDEI;4;13;202290
DDEI;3;13;202290
DDEP;1;13;202290
DDEP;1;13;202290
DDGE;3;13;202290
DDIN;1;13;202290
DDIP;1;13;202290
DDLE;1;13;202290
DDUD;1;13;202290
DDUD;1;13;202290
DERA;2;13;202290
DERA;13;13;202290
DERO;16;13;202290
DERO;4;13;202290
DERS;13;13;202290
DERS;2;13;202290
DEST;2;13;202290
DEST;1;13;202290
DESU;1;13;202290
DEVS;4;13;202290
DFCL;3;13;202290
DFKM;1;13;202290
DFUT;1;13;202290
DGAS;2;13;202290
DGCE;2;13;202290
DGCS;6;13;202290
DGCS;9;13;202290
DGGE;1;13;202290
DGOS;31;13;202290
DHDS;1;13;202290
DIND;1;13;202290
DIND;1;13;202290
DIND;1;13;202290
DIOD;3;13;202290
DIPH;11;13;202290
DIQP;3;13;202290
DIQP;19;13;202290
DIQP;2;13;202290
DKAD;1;13;202290
DMBU;6;13;202290
DMBU;6;13;202290
DMOR;4;13;202290
DMSM;8;13;202290
DMSU;4;13;202290
DMTT;1;13;202290
DNDF;1;13;202290
DNEE;7;13;202290
DNEO;2;13;202290
DNNA;1;13;202290
DOCM;2;13;202290
DODP;6;13;202290
DOIA;1;13;202290
DOPI;3;13;202290
DOPI;26;13;202290
DOPS;8;13;202290
DORE;2;13;202290
DPAD;4;13;202290
DPCI;1;13;202290
DPEN;1;13;202290
DPEN;12;13;202290
DPPC;2;13;202290
DPSU;1;13;202290
DPSU;3;13;202290
DRET;1;13;202290
DRNA;1;13;202290
DSAP;1;13;202290
DSAP;10;13;202290
DSCE;1;13;202290
DSCE;1;13;202290
DSFC;7;13;202290
DSMP;3;13;202290
DTMA;2;13;202290
DVMP;3;13;202290
DVMP;2;13;202290
EMCT;1;13;202290
EOCM;4;13;202290
EOEN;1;13;202290
EOEN;10;13;202290
EOIM;1;13;202290
EOIM;4;13;202290
EOIO;1;13;202290
EOIO;9;13;202290
EOOP;8;13;202290
EOOR;6;13;202290
EOPE;8;13;202290
EORO;2;13;202290
EORO;9;13;202290
EORO;1;13;202290
EOTT;2;13;202290
EOTT;3;13;202290
MAGS;1;13;202290
MAGS;2;13;202290
MDAD;1;13;202290
MDAD;1;13;202290
MDAD;7;13;202290
MDDE;1;13;202290
MDDE;2;13;202290
MDGE;2;13;202290
MDPE;1;13;202290
MDRC;6;13;202290
MDTR;7;13;202290
MEDU;2;13;202290
MEMG;6;13;202290
MEPI;2;13;202290
MFIA;1;13;202290
MHGP;2;13;202290
MNPP;1;13;202290
MNPP;2;13;202290
MPSP;1;13;202290
MPSP;5;13;202290
MTEM;1;13;202290
MTEM;6;13;202290
PEOG;9;13;202290
PEOG;1;13;202290
PEPA;2;13;202290
PEPA;1;13;202290
PEPA;5;13;202290
PEPA;1;13;202290
PMEM;7;13;202290
PMEM;1;13;202290
CBPE;4;14;202290
CICS;1;14;202290
DAAG;4;14;202290
DAAG;5;14;202290
DAAM;9;14;202290
DCAA;1;14;202290
DCAA;1;14;202290
DCKR;2;14;202290
DCOL;9;14;202290
DCPA;41;14;202290
DCPA;2;14;202290
DCPA;4;14;202290
DCPA;1;14;202290
DDCO;3;14;202290
DDEC;7;14;202290
DDEI;4;14;202290
DDEI;3;14;202290
DDEP;2;14;202290
DDEP;1;14;202290
DDGE;3;14;202290
DDIN;1;14;202290
DDIP;1;14;202290
DDLE;1;14;202290
DDUD;1;14;202290
DDUD;1;14;202290
DERA;2;14;202290
DERA;15;14;202290
DERO;17;14;202290
DERO;4;14;202290
DERS;13;14;202290
DERS;2;14;202290
DEST;3;14;202290
DEST;1;14;202290
DESU;1;14;202290
DEVS;4;14;202290
DFCL;3;14;202290
DFKM;1;14;202290
DFUT;5;14;202290
DGAS;2;14;202290
DGCE;4;14;202290
DGCS;6;14;202290
DGCS;9;14;202290
DGGE;1;14;202290
DGOS;31;14;202290
DHDS;1;14;202290
DIND;1;14;202290
DIND;1;14;202290
DIND;1;14;202290
DIOD;4;14;202290
DIPH;11;14;202290
DIQP;3;14;202290
DIQP;20;14;202290
DIQP;2;14;202290
DKAD;2;14;202290
DMBU;6;14;202290
DMBU;6;14;202290
DMOR;5;14;202290
DMSM;8;14;202290
DMSU;4;14;202290
DMTT;1;14;202290
DNDF;1;14;202290
DNEE;7;14;202290
DNEO;3;14;202290
DNNA;1;14;202290
DOCM;2;14;202290
DODP;1;14;202290
DODP;6;14;202290
DOIA;1;14;202290
DOPI;3;14;202290
DOPI;27;14;202290
DOPS;8;14;202290
DORE;3;14;202290
DPAD;5;14;202290
DPCI;1;14;202290
DPEN;1;14;202290
DPEN;13;14;202290
DPPC;2;14;202290
DPSU;1;14;202290
DPSU;3;14;202290
DRET;1;14;202290
DRNA;1;14;202290
DSAP;1;14;202290
DSAP;10;14;202290
DSCE;1;14;202290
DSCE;1;14;202290
DSFC;7;14;202290
DSMP;4;14;202290
DTMA;2;14;202290
DVMP;3;14;202290
DVMP;2;14;202290
EMCT;1;14;202290
EOCM;4;14;202290
EOEN;1;14;202290
EOEN;10;14;202290
EOIM;1;14;202290
EOIM;4;14;202290
EOIO;1;14;202290
EOIO;10;14;202290
EOOP;8;14;202290
EOOR;6;14;202290
EOPE;8;14;202290
EORO;2;14;202290
EORO;9;14;202290
EORO;1;14;202290
EOTT;2;14;202290
EOTT;3;14;202290
MAGS;1;14;202290
MAGS;5;14;202290
MDAD;1;14;202290
MDAD;1;14;202290
MDAD;8;14;202290
MDDE;2;14;202290
MDDE;3;14;202290
MDGE;2;14;202290
MDPE;3;14;202290
MDRC;6;14;202290
MDTR;9;14;202290
MEDU;2;14;202290
MEMG;6;14;202290
MEPI;4;14;202290
MFIA;1;14;202290
MHGP;3;14;202290
MNPP;1;14;202290
MNPP;2;14;202290
MPSP;1;14;202290
MPSP;5;14;202290
MTEM;1;14;202290
MTEM;6;14;202290
PEIN;1;14;202290
PEOG;2;14;202290
PEOG;11;14;202290
PEOG;1;14;202290
PEPA;2;14;202290
PEPA;1;14;202290
PEPA;8;14;202290
PEPA;1;14;202290
PMEM;9;14;202290
PMEM;2;14;202290
PMEM;1;14;202290
CBPE;4;15;202290
CICS;1;15;202290
DAAG;6;15;202290
DAAG;5;15;202290
DAAM;9;15;202290
DCAA;2;15;202290
DCAA;1;15;202290
DCKR;3;15;202290
DCOL;9;15;202290
DCPA;47;15;202290
DCPA;2;15;202290
DCPA;4;15;202290
DCPA;1;15;202290
DDCO;3;15;202290
DDDD;1;15;202290
DDEC;7;15;202290
DDEI;4;15;202290
DDEI;3;15;202290
DDEP;2;15;202290
DDEP;1;15;202290
DDGE;3;15;202290
DDIN;1;15;202290
DDIP;1;15;202290
DDLE;1;15;202290
DDUD;1;15;202290
DDUD;1;15;202290
DECC;1;15;202290
DERA;2;15;202290
DERA;15;15;202290
DERO;19;15;202290
DERO;5;15;202290
DERS;13;15;202290
DERS;2;15;202290
DEST;4;15;202290
DEST;1;15;202290
DESU;1;15;202290
DEVS;4;15;202290
DFCL;3;15;202290
DFKM;1;15;202290
DFUT;6;15;202290
DGAS;2;15;202290
DGCE;5;15;202290
DGCE;1;15;202290
DGCS;6;15;202290
DGCS;9;15;202290
DGGE;1;15;202290
DGOS;31;15;202290
DHDS;1;15;202290
DIND;1;15;202290
DIND;1;15;202290
DIND;1;15;202290
DIOD;4;15;202290
DIPH;11;15;202290
DIQP;3;15;202290
DIQP;20;15;202290
DIQP;2;15;202290
