CÓDIGO;Semana
EMPS;202342
EMRA;202342
EMUG;202342
MAEC;202342
MAFM;202342
MDFI;202342
MDRC;202342
MFIA;202342
PEIN;202342
PMFA;202342
CACO;202343
CAFC;202343
CCGL;202343
CCOM;202343
CDCE;202343
CDFO;202343
CDPC;202343
CGCD;202343
CGIE;202343
CGMF;202343
CHDS;202343
CICS;202343
CLEL;202343
CMTE;202343
CPDN;202343
CPIS;202343
CPOC;202343
CRCJ;202343
CTSP;202343
CTVV;202343
CURV;202343
DASD;202343
DCAL;202343
DCEC;202343
DCGE;202343
DCKR;202343
DDCO;202343
DDDD;202343
DDFA;202343
DDFU;202343
DDIN;202343
DDLE;202343
DDUC;202343
DEGP;202343
DEMA;202343
DEST;202343
DESU;202343
DFEM;202343
DFNF;202343
DFUT;202343
DGCU;202343
DGTO;202343
DIDS;202343
DIGP;202343
DISI;202343
DLDP;202343
DMEP;202343
DORE;202343
DPSM;202343
DRGP;202343
DRNA;202343
ECAN;202343
ECNE;202343
EMAN;202343
EMCG;202343
EMFL;202343
EMMI;202343
EMNE;202343
EMOT;202343
EMPE;202343
EMPS;202343
EMRA;202343
EMUG;202343
MAEC;202343
MAFM;202343
MDFI;202343
MDRC;202343
MFIA;202343
PEIN;202343
PMFA;202343
CACO;202344
CAFC;202344
CCGL;202344
CCOM;202344
CDCE;202344
CDFO;202344
CDPC;202344
CGCD;202344
CGIE;202344
CGMF;202344
CICS;202344
CLEL;202344
CMTE;202344
CPDN;202344
CPIS;202344
CPOC;202344
CRCJ;202344
CTSP;202344
CTVV;202344
CURV;202344
DASD;202344
DCAL;202344
DCEC;202344
DCGE;202344
DDCO;202344
DDFA;202344
DDFU;202344
DDIN;202344
DDLE;202344
DDUC;202344
DEGP;202344
DEMA;202344
DEST;202344
DESU;202344
DFNF;202344
DFUT;202344
DGTO;202344
DIDS;202344
DIGP;202344
DISI;202344
DLDP;202344
DMEP;202344
DORE;202344
DPSM;202344
DRGP;202344
DRNA;202344
ECAN;202344
ECNE;202344
EMAN;202344
EMCG;202344
EMFL;202344
EMMI;202344
EMNE;202344
EMOT;202344
EMPE;202344
EMPS;202344
EMRA;202344
EMUG;202344
MAEC;202344
MAFM;202344
MDFI;202344
MFIA;202344
PEIN;202344
PMFA;202344
CACO;202345
CAFC;202345
CCGL;202345
CCOM;202345
CDCE;202345
CDFO;202345
CDPC;202345
CGCD;202345
CGIE;202345
CGMF;202345
CICS;202345
CLEL;202345
CMTE;202345
CPDN;202345
CPIS;202345
CPOC;202345
CRCJ;202345
CTSP;202345
CTVV;202345
CURV;202345
DASD;202345
DCAL;202345
DCEC;202345
DCGE;202345
DDCO;202345
DDFU;202345
DDIN;202345
DDLE;202345
DDUC;202345
DEGP;202345
DEMA;202345
DESU;202345
DFNF;202345
DFUT;202345
DGTO;202345
DIDS;202345
